Tanggal,Tahun,Bulan,Nama_Bulan,Komoditas,Negara_Tujuan,Nilai_Ekspor_USD,Volume_Ton
2020-02-29,2020,2,February,Kelapa,Thailand,73120.08,61.22
2020-02-29,2020,2,February,Kelapa,Korea Selatan,100031.85,78.14
2020-02-29,2020,2,February,Jagung,Tiongkok,87170.76,35.13
2020-02-29,2020,2,February,Jagung,Malaysia,62097.9,36.12
2020-02-29,2020,2,February,Jagung,Jepang,69453.87,26.51
2020-02-29,2020,2,February,Jagung,Amerika Serikat,66834.95,33.04
2020-02-29,2020,2,February,Jagung,Singapura,53947.21,23.46
2020-02-29,2020,2,February,Jagung,Vietnam,46563.17,16.75
2020-02-29,2020,2,February,Jagung,Thailand,29680.28,24.98
2020-02-29,2020,2,February,Jagung,Korea Selatan,11998.35,6.21
2020-02-29,2020,2,February,Produk Perikanan,Tiongkok,60985.53,27.95
2020-02-29,2020,2,February,Produk Perikanan,Malaysia,46185.68,17.46
2020-02-29,2020,2,February,Produk Perikanan,Jepang,51713.66,25.29
2020-02-29,2020,2,February,Produk Perikanan,Amerika Serikat,45151.08,20.1
2020-02-29,2020,2,February,Produk Perikanan,Singapura,34164.14,16.56
2020-02-29,2020,2,February,Produk Perikanan,Vietnam,88823.34,36.22
2020-02-29,2020,2,February,Produk Perikanan,Thailand,73950.59,44.93
2020-02-29,2020,2,February,Produk Perikanan,Korea Selatan,40703.04,21.67
2020-02-29,2020,2,February,Kerajinan Rotan,Tiongkok,19172.71,6.55
2020-02-29,2020,2,February,Kerajinan Rotan,Malaysia,58416.47,32.13
2020-02-29,2020,2,February,Kerajinan Rotan,Jepang,21807.33,14.53
2020-02-29,2020,2,February,Kerajinan Rotan,Amerika Serikat,50045.24,21.57
2020-02-29,2020,2,February,Kerajinan Rotan,Singapura,58998.7,23.83
2020-02-29,2020,2,February,Kerajinan Rotan,Vietnam,36490.6,19.84
2020-02-29,2020,2,February,Kerajinan Rotan,Thailand,22398.95,8.9
2020-02-29,2020,2,February,Kerajinan Rotan,Korea Selatan,12900.37,11.81
2020-02-29,2020,2,February,Minyak Kelapa,Tiongkok,78341.79,32.54
2020-02-29,2020,2,February,Minyak Kelapa,Malaysia,22100.53,11.14
2020-02-29,2020,2,February,Minyak Kelapa,Jepang,21483.03,11.5
2020-02-29,2020,2,February,Minyak Kelapa,Amerika Serikat,40047.88,17.64
2020-02-29,2020,2,February,Minyak Kelapa,Singapura,28766.67,12.78
2020-02-29,2020,2,February,Minyak Kelapa,Vietnam,45702.36,19.72
2020-02-29,2020,2,February,Minyak Kelapa,Thailand,10966.21,4.8
2020-02-29,2020,2,February,Minyak Kelapa,Korea Selatan,40474.89,14.05
2020-02-29,2020,2,February,Produk Olahan,Tiongkok,43376.11,18.97
2020-02-29,2020,2,February,Produk Olahan,Malaysia,53373.55,18.51
2020-02-29,2020,2,February,Produk Olahan,Jepang,61193.57,21.77
2020-02-29,2020,2,February,Produk Olahan,Amerika Serikat,13047.14,10.86
2020-02-29,2020,2,February,Produk Olahan,Singapura,12196.94,5.16
2020-02-29,2020,2,February,Produk Olahan,Vietnam,21000.58,7.81
2020-02-29,2020,2,February,Produk Olahan,Thailand,42976.23,27.48
2020-02-29,2020,2,February,Produk Olahan,Korea Selatan,51606.72,22.86
2020-03-31,2020,3,March,Kakao,Tiongkok,329148.32,74.63
2020-03-31,2020,3,March,Kakao,Malaysia,193543.43,45.52
2020-03-31,2020,3,March,Kakao,Jepang,339138.23,104.74
2020-03-31,2020,3,March,Kakao,Amerika Serikat,351258.88,116.22
2020-03-31,2020,3,March,Kakao,Singapura,295050.58,89.76
2020-03-31,2020,3,March,Kakao,Vietnam,284185.64,123.06
2020-03-31,2020,3,March,Kakao,Thailand,175100.44,39.09
2020-03-31,2020,3,March,Kakao,Korea Selatan,222392.79,70.21
2020-03-31,2020,3,March,Besi dan Baja,Tiongkok,325513.26,143.15
2020-03-31,2020,3,March,Besi dan Baja,Malaysia,372907.42,76.86
2020-03-31,2020,3,March,Besi dan Baja,Jepang,206292.46,61.67
2020-03-31,2020,3,March,Besi dan Baja,Amerika Serikat,179507.19,44.68
2020-03-31,2020,3,March,Besi dan Baja,Singapura,179482.73,41.08
2020-03-31,2020,3,March,Besi dan Baja,Vietnam,167301.57,77.0
2020-03-31,2020,3,March,Besi dan Baja,Thailand,145813.33,31.27
2020-03-31,2020,3,March,Besi dan Baja,Korea Selatan,110351.5,45.43
2020-03-31,2020,3,March,Kelapa,Tiongkok,91628.09,76.21
2020-03-31,2020,3,March,Kelapa,Malaysia,133871.03,116.86
2020-03-31,2020,3,March,Kelapa,Jepang,79494.32,68.37
2020-03-31,2020,3,March,Kelapa,Amerika Serikat,112726.62,64.47
2020-03-31,2020,3,March,Kelapa,Singapura,103788.58,35.86
2020-03-31,2020,3,March,Kelapa,Vietnam,68952.6,39.34
2020-03-31,2020,3,March,Kelapa,Thailand,81842.01,38.66
2020-03-31,2020,3,March,Kelapa,Korea Selatan,93169.15,76.22
2020-03-31,2020,3,March,Jagung,Tiongkok,13038.22,6.73
2020-03-31,2020,3,March,Jagung,Malaysia,25338.47,20.52
2020-03-31,2020,3,March,Jagung,Jepang,67256.36,31.04
2020-03-31,2020,3,March,Jagung,Amerika Serikat,39577.76,25.19
2020-03-31,2020,3,March,Jagung,Singapura,17046.81,5.83
2020-03-31,2020,3,March,Jagung,Vietnam,67645.74,62.27
2020-03-31,2020,3,March,Jagung,Thailand,30182.08,10.11
2020-03-31,2020,3,March,Jagung,Korea Selatan,38040.96,12.95
2020-03-31,2020,3,March,Produk Perikanan,Tiongkok,109066.9,45.61
2020-03-31,2020,3,March,Produk Perikanan,Malaysia,128687.94,59.34
2020-03-31,2020,3,March,Produk Perikanan,Jepang,46991.2,30.09
2020-03-31,2020,3,March,Produk Perikanan,Amerika Serikat,116105.58,60.75
2020-03-31,2020,3,March,Produk Perikanan,Singapura,48699.12,35.39
2020-03-31,2020,3,March,Produk Perikanan,Vietnam,45489.64,20.99
2020-03-31,2020,3,March,Produk Perikanan,Thailand,105992.03,35.66
2020-03-31,2020,3,March,Produk Perikanan,Korea Selatan,76002.57,46.94
2020-03-31,2020,3,March,Kerajinan Rotan,Tiongkok,77261.64,58.3
2020-03-31,2020,3,March,Kerajinan Rotan,Malaysia,83614.49,28.84
2020-03-31,2020,3,March,Kerajinan Rotan,Jepang,57252.62,31.18
2020-03-31,2020,3,March,Kerajinan Rotan,Amerika Serikat,51845.68,47.55
2020-03-31,2020,3,March,Kerajinan Rotan,Singapura,34441.11,13.14
2020-03-31,2020,3,March,Kerajinan Rotan,Vietnam,16686.09,7.63
2020-03-31,2020,3,March,Kerajinan Rotan,Thailand,66412.03,24.74
2020-03-31,2020,3,March,Kerajinan Rotan,Korea Selatan,30404.24,16.62
2020-03-31,2020,3,March,Minyak Kelapa,Tiongkok,21634.77,7.93
2020-03-31,2020,3,March,Minyak Kelapa,Malaysia,91973.9,30.73
2020-03-31,2020,3,March,Minyak Kelapa,Jepang,66270.54,22.93
2020-03-31,2020,3,March,Minyak Kelapa,Amerika Serikat,22859.41,12.02
2020-03-31,2020,3,March,Minyak Kelapa,Singapura,51439.35,23.25
2020-03-31,2020,3,March,Minyak Kelapa,Vietnam,41112.24,18.38
2020-03-31,2020,3,March,Minyak Kelapa,Thailand,15805.23,6.75
2020-03-31,2020,3,March,Minyak Kelapa,Korea Selatan,55464.57,27.18
2020-03-31,2020,3,March,Produk Olahan,Tiongkok,64889.27,30.58
2020-03-31,2020,3,March,Produk Olahan,Malaysia,36730.07,28.97
2020-03-31,2020,3,March,Produk Olahan,Jepang,61986.42,27.66
2020-03-31,2020,3,March,Produk Olahan,Amerika Serikat,19966.43,15.69
2020-03-31,2020,3,March,Produk Olahan,Singapura,26342.8,12.08
2020-03-31,2020,3,March,Produk Olahan,Vietnam,29939.08,10.66
2020-03-31,2020,3,March,Produk Olahan,Thailand,34222.13,13.33
2020-03-31,2020,3,March,Produk Olahan,Korea Selatan,48495.23,17.8
2020-04-30,2020,4,April,Kakao,Tiongkok,161626.0,33.81
2020-04-30,2020,4,April,Kakao,Malaysia,237994.32,70.47
2020-04-30,2020,4,April,Kakao,Jepang,234906.61,78.66
2020-04-30,2020,4,April,Kakao,Amerika Serikat,131853.71,59.19
2020-04-30,2020,4,April,Kakao,Singapura,88812.93,36.17
2020-04-30,2020,4,April,Kakao,Vietnam,205665.12,80.79
2020-04-30,2020,4,April,Kakao,Thailand,295327.87,86.31
2020-04-30,2020,4,April,Kakao,Korea Selatan,92877.46,36.04
2020-04-30,2020,4,April,Besi dan Baja,Tiongkok,142009.39,50.08
2020-04-30,2020,4,April,Besi dan Baja,Malaysia,140381.67,59.44
2020-04-30,2020,4,April,Besi dan Baja,Jepang,138280.84,44.71
2020-04-30,2020,4,April,Besi dan Baja,Amerika Serikat,265205.55,125.22
2020-04-30,2020,4,April,Besi dan Baja,Singapura,214648.35,95.6
2020-04-30,2020,4,April,Besi dan Baja,Vietnam,215436.62,98.68
2020-04-30,2020,4,April,Besi dan Baja,Thailand,189663.8,44.68
2020-04-30,2020,4,April,Besi dan Baja,Korea Selatan,114873.79,36.92
2020-04-30,2020,4,April,Kelapa,Tiongkok,108269.53,62.3
2020-04-30,2020,4,April,Kelapa,Malaysia,111256.37,103.65
2020-04-30,2020,4,April,Kelapa,Jepang,96369.41,34.54
2020-04-30,2020,4,April,Kelapa,Amerika Serikat,79000.06,65.06
2020-04-30,2020,4,April,Kelapa,Singapura,61072.79,41.13
2020-04-30,2020,4,April,Kelapa,Vietnam,52395.29,50.37
2020-04-30,2020,4,April,Kelapa,Thailand,37987.29,22.95
2020-04-30,2020,4,April,Kelapa,Korea Selatan,98952.01,45.24
2020-04-30,2020,4,April,Jagung,Tiongkok,61929.65,31.01
2020-04-30,2020,4,April,Jagung,Malaysia,60710.44,27.93
2020-04-30,2020,4,April,Jagung,Jepang,34621.65,27.58
2020-04-30,2020,4,April,Jagung,Amerika Serikat,34741.43,15.16
2020-04-30,2020,4,April,Jagung,Singapura,28981.26,9.75
2020-04-30,2020,4,April,Jagung,Vietnam,18825.75,15.64
2020-04-30,2020,4,April,Jagung,Thailand,19502.33,14.76
2020-04-30,2020,4,April,Jagung,Korea Selatan,28104.14,20.87
2020-04-30,2020,4,April,Produk Perikanan,Tiongkok,51509.74,25.14
2020-04-30,2020,4,April,Produk Perikanan,Malaysia,142096.69,116.08
2020-04-30,2020,4,April,Produk Perikanan,Jepang,132329.73,48.45
2020-04-30,2020,4,April,Produk Perikanan,Amerika Serikat,61553.68,45.87
2020-04-30,2020,4,April,Produk Perikanan,Singapura,97779.21,46.26
2020-04-30,2020,4,April,Produk Perikanan,Vietnam,43389.67,17.09
2020-04-30,2020,4,April,Produk Perikanan,Thailand,52817.84,28.54
2020-04-30,2020,4,April,Produk Perikanan,Korea Selatan,49046.95,39.89
2020-04-30,2020,4,April,Kerajinan Rotan,Tiongkok,31580.62,14.6
2020-04-30,2020,4,April,Kerajinan Rotan,Malaysia,41927.38,20.3
2020-04-30,2020,4,April,Kerajinan Rotan,Jepang,26573.18,20.94
2020-04-30,2020,4,April,Kerajinan Rotan,Amerika Serikat,80247.33,48.79
2020-04-30,2020,4,April,Kerajinan Rotan,Singapura,25098.24,10.62
2020-04-30,2020,4,April,Kerajinan Rotan,Vietnam,38379.08,19.75
2020-04-30,2020,4,April,Kerajinan Rotan,Thailand,31072.74,10.87
2020-04-30,2020,4,April,Kerajinan Rotan,Korea Selatan,63630.68,50.96
2020-04-30,2020,4,April,Minyak Kelapa,Tiongkok,70571.29,51.8
2020-04-30,2020,4,April,Minyak Kelapa,Malaysia,80235.11,37.34
2020-04-30,2020,4,April,Minyak Kelapa,Jepang,17953.25,6.93
2020-04-30,2020,4,April,Minyak Kelapa,Amerika Serikat,24564.88,18.49
2020-04-30,2020,4,April,Minyak Kelapa,Singapura,40817.07,19.95
2020-04-30,2020,4,April,Minyak Kelapa,Vietnam,60680.85,34.0
2020-04-30,2020,4,April,Minyak Kelapa,Thailand,31479.69,17.95
2020-04-30,2020,4,April,Minyak Kelapa,Korea Selatan,25096.17,10.06
2020-04-30,2020,4,April,Produk Olahan,Tiongkok,30910.44,11.04
2020-04-30,2020,4,April,Produk Olahan,Malaysia,58537.79,20.81
2020-04-30,2020,4,April,Produk Olahan,Jepang,19985.17,6.94
2020-04-30,2020,4,April,Produk Olahan,Amerika Serikat,35868.95,28.05
2020-04-30,2020,4,April,Produk Olahan,Singapura,47464.05,22.96
2020-04-30,2020,4,April,Produk Olahan,Vietnam,45707.24,35.07
2020-04-30,2020,4,April,Produk Olahan,Thailand,18240.34,7.33
2020-04-30,2020,4,April,Produk Olahan,Korea Selatan,44295.84,17.54
2020-05-31,2020,5,May,Kakao,Tiongkok,192449.59,43.11
2020-05-31,2020,5,May,Kakao,Malaysia,381818.49,160.26
2020-05-31,2020,5,May,Kakao,Jepang,272209.21,111.12
2020-05-31,2020,5,May,Kakao,Amerika Serikat,301099.49,72.38
2020-05-31,2020,5,May,Kakao,Singapura,208190.89,57.38
2020-05-31,2020,5,May,Kakao,Vietnam,177743.09,69.85
2020-05-31,2020,5,May,Kakao,Thailand,203128.43,63.43
2020-05-31,2020,5,May,Kakao,Korea Selatan,298077.21,121.17
2020-05-31,2020,5,May,Besi dan Baja,Tiongkok,201005.08,52.42
2020-05-31,2020,5,May,Besi dan Baja,Malaysia,351312.02,73.25
2020-05-31,2020,5,May,Besi dan Baja,Jepang,257855.57,54.09
2020-05-31,2020,5,May,Besi dan Baja,Amerika Serikat,132544.12,35.55
2020-05-31,2020,5,May,Besi dan Baja,Singapura,178529.49,42.41
2020-05-31,2020,5,May,Besi dan Baja,Vietnam,200627.99,59.84
2020-05-31,2020,5,May,Besi dan Baja,Thailand,210276.17,46.56
2020-05-31,2020,5,May,Besi dan Baja,Korea Selatan,238325.53,51.7
2020-05-31,2020,5,May,Kelapa,Tiongkok,88012.77,48.95
2020-05-31,2020,5,May,Kelapa,Malaysia,64305.16,24.68
2020-05-31,2020,5,May,Kelapa,Jepang,64971.47,36.17
2020-05-31,2020,5,May,Kelapa,Amerika Serikat,106333.76,62.82
2020-05-31,2020,5,May,Kelapa,Singapura,72633.43,38.14
2020-05-31,2020,5,May,Kelapa,Vietnam,53687.78,41.89
2020-05-31,2020,5,May,Kelapa,Thailand,75652.78,41.16
2020-05-31,2020,5,May,Kelapa,Korea Selatan,58296.83,26.97
2020-05-31,2020,5,May,Jagung,Tiongkok,13923.82,5.98
2020-05-31,2020,5,May,Jagung,Malaysia,84106.45,64.83
2020-05-31,2020,5,May,Jagung,Jepang,17136.01,5.72
2020-05-31,2020,5,May,Jagung,Amerika Serikat,52494.66,46.29
2020-05-31,2020,5,May,Jagung,Singapura,18077.98,6.47
2020-05-31,2020,5,May,Jagung,Vietnam,19316.12,18.0
2020-05-31,2020,5,May,Jagung,Thailand,42456.75,37.53
2020-05-31,2020,5,May,Jagung,Korea Selatan,31890.46,15.57
2020-05-31,2020,5,May,Produk Perikanan,Tiongkok,75071.43,35.42
2020-05-31,2020,5,May,Produk Perikanan,Malaysia,75541.29,27.74
2020-05-31,2020,5,May,Produk Perikanan,Jepang,71237.79,46.21
2020-05-31,2020,5,May,Produk Perikanan,Amerika Serikat,60660.05,57.73
2020-05-31,2020,5,May,Produk Perikanan,Singapura,64962.8,28.03
2020-05-31,2020,5,May,Produk Perikanan,Vietnam,48669.12,33.29
2020-05-31,2020,5,May,Produk Perikanan,Thailand,35144.25,29.09
2020-05-31,2020,5,May,Produk Perikanan,Korea Selatan,38047.43,16.5
2020-05-31,2020,5,May,Kerajinan Rotan,Tiongkok,24454.78,16.45
2020-05-31,2020,5,May,Kerajinan Rotan,Malaysia,75920.95,28.54
2020-05-31,2020,5,May,Kerajinan Rotan,Jepang,47775.54,33.88
2020-05-31,2020,5,May,Kerajinan Rotan,Amerika Serikat,54874.02,53.48
2020-05-31,2020,5,May,Kerajinan Rotan,Singapura,17795.55,16.9
2020-05-31,2020,5,May,Kerajinan Rotan,Vietnam,45301.64,24.58
2020-05-31,2020,5,May,Kerajinan Rotan,Thailand,45976.72,27.31
2020-05-31,2020,5,May,Kerajinan Rotan,Korea Selatan,26295.59,12.06
2020-05-31,2020,5,May,Minyak Kelapa,Tiongkok,63098.01,34.69
2020-05-31,2020,5,May,Minyak Kelapa,Malaysia,56267.68,35.41
2020-05-31,2020,5,May,Minyak Kelapa,Jepang,66337.74,51.82
2020-05-31,2020,5,May,Minyak Kelapa,Amerika Serikat,46192.99,16.56
2020-05-31,2020,5,May,Minyak Kelapa,Singapura,28368.15,27.15
2020-05-31,2020,5,May,Minyak Kelapa,Vietnam,33490.54,14.77
2020-05-31,2020,5,May,Minyak Kelapa,Thailand,20255.5,7.59
2020-05-31,2020,5,May,Minyak Kelapa,Korea Selatan,32979.82,24.55
2020-05-31,2020,5,May,Produk Olahan,Tiongkok,13874.91,4.91
2020-05-31,2020,5,May,Produk Olahan,Malaysia,59500.84,38.43
2020-05-31,2020,5,May,Produk Olahan,Jepang,45086.21,16.95
2020-05-31,2020,5,May,Produk Olahan,Amerika Serikat,14685.4,11.53
2020-05-31,2020,5,May,Produk Olahan,Singapura,55853.39,25.45
2020-05-31,2020,5,May,Produk Olahan,Vietnam,50421.46,37.33
2020-05-31,2020,5,May,Produk Olahan,Thailand,31172.64,17.65
2020-05-31,2020,5,May,Produk Olahan,Korea Selatan,13524.02,10.15
2020-06-30,2020,6,June,Kakao,Tiongkok,126138.82,33.11
2020-06-30,2020,6,June,Kakao,Malaysia,229807.43,80.18
2020-06-30,2020,6,June,Kakao,Jepang,291689.74,100.88
2020-06-30,2020,6,June,Kakao,Amerika Serikat,256718.4,64.32
2020-06-30,2020,6,June,Kakao,Singapura,194854.42,73.67
2020-06-30,2020,6,June,Kakao,Vietnam,109964.15,29.05
2020-06-30,2020,6,June,Kakao,Thailand,174304.91,45.98
2020-06-30,2020,6,June,Kakao,Korea Selatan,206231.55,88.9
2020-06-30,2020,6,June,Besi dan Baja,Tiongkok,328725.08,94.29
2020-06-30,2020,6,June,Besi dan Baja,Malaysia,260350.83,95.05
2020-06-30,2020,6,June,Besi dan Baja,Jepang,235467.71,57.65
2020-06-30,2020,6,June,Besi dan Baja,Amerika Serikat,181053.25,58.73
2020-06-30,2020,6,June,Besi dan Baja,Singapura,278435.5,115.51
2020-06-30,2020,6,June,Besi dan Baja,Vietnam,158432.6,62.0
2020-06-30,2020,6,June,Besi dan Baja,Thailand,256408.32,61.1
2020-06-30,2020,6,June,Besi dan Baja,Korea Selatan,218810.44,53.67
2020-06-30,2020,6,June,Kelapa,Tiongkok,63273.5,31.97
2020-06-30,2020,6,June,Kelapa,Malaysia,121309.3,42.0
2020-06-30,2020,6,June,Kelapa,Jepang,83095.9,29.15
2020-06-30,2020,6,June,Kelapa,Amerika Serikat,68102.53,24.06
2020-06-30,2020,6,June,Kelapa,Singapura,92199.68,57.82
2020-06-30,2020,6,June,Kelapa,Vietnam,96963.54,33.57
2020-06-30,2020,6,June,Kelapa,Thailand,83805.78,31.17
2020-06-30,2020,6,June,Kelapa,Korea Selatan,91413.71,85.11
2020-06-30,2020,6,June,Jagung,Tiongkok,26793.25,21.59
2020-06-30,2020,6,June,Jagung,Malaysia,73265.34,43.62
2020-06-30,2020,6,June,Jagung,Jepang,16172.88,9.92
2020-06-30,2020,6,June,Jagung,Amerika Serikat,62436.75,38.13
2020-06-30,2020,6,June,Jagung,Singapura,48498.89,21.73
2020-06-30,2020,6,June,Jagung,Vietnam,9071.49,3.31
2020-06-30,2020,6,June,Jagung,Thailand,63172.42,30.7
2020-06-30,2020,6,June,Jagung,Korea Selatan,46957.03,15.67
2020-06-30,2020,6,June,Produk Perikanan,Tiongkok,124544.09,69.04
2020-06-30,2020,6,June,Produk Perikanan,Malaysia,132359.71,48.18
2020-06-30,2020,6,June,Produk Perikanan,Jepang,97372.42,53.05
2020-06-30,2020,6,June,Produk Perikanan,Amerika Serikat,82694.21,55.97
2020-06-30,2020,6,June,Produk Perikanan,Singapura,50356.71,31.98
2020-06-30,2020,6,June,Produk Perikanan,Vietnam,37413.43,34.51
2020-06-30,2020,6,June,Produk Perikanan,Thailand,94553.4,50.96
2020-06-30,2020,6,June,Produk Perikanan,Korea Selatan,91537.66,63.72
2020-06-30,2020,6,June,Kerajinan Rotan,Tiongkok,71537.06,60.69
2020-06-30,2020,6,June,Kerajinan Rotan,Malaysia,79878.54,27.64
2020-06-30,2020,6,June,Kerajinan Rotan,Jepang,58393.22,43.77
2020-06-30,2020,6,June,Kerajinan Rotan,Amerika Serikat,27450.66,9.51
2020-06-30,2020,6,June,Kerajinan Rotan,Singapura,36035.88,17.79
2020-06-30,2020,6,June,Kerajinan Rotan,Vietnam,16465.11,11.43
2020-06-30,2020,6,June,Kerajinan Rotan,Thailand,40316.61,23.71
2020-06-30,2020,6,June,Kerajinan Rotan,Korea Selatan,68456.86,24.74
2020-06-30,2020,6,June,Minyak Kelapa,Tiongkok,85898.65,63.73
2020-06-30,2020,6,June,Minyak Kelapa,Malaysia,61918.38,25.89
2020-06-30,2020,6,June,Minyak Kelapa,Jepang,54216.66,37.42
2020-06-30,2020,6,June,Minyak Kelapa,Amerika Serikat,45634.98,20.88
